,Incident No.,View,Unit,Zone,Function,Category,Incident Nature,Incident Type,Description,Incident Date,Reporting Date,Status,Debit Note Status
0,0,FAR,MTF,MTF OSBL,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-03-02 00:00:00,2022-03-02,Not Approved,
1,1,FAR,SEZ,Material Zone,Physical Security,Security,Pilferage,Liquid material,PilferageLiquid material,2022-03-02 00:00:00,2022-03-02,Not Approved,
2,2,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-03-02 00:00:00,2022-03-02,Not Approved,
3,3,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2022-03-01 00:00:00,2022-03-01,Approved By Site Head,
4,4,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2022-03-01 00:00:00,2022-03-01,Approved By Site Head,
5,5,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2022-03-01 00:00:00,2022-03-01,Approved By Site Head,
6,6,FAR,SEZ,Material Zone,Physical Security,Security,Theft,Reported,TheftReported,2022-03-01 00:00:00,2022-03-02,Not Approved,
7,7,FAR,C2,C&Q,Traffic,Traffic incident,Near miss,,,2022-03-01 00:00:00,2022-03-01,Approved By Site Head,
8,8,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-03-01 00:00:00,2022-03-01,Approved By Zone IC,
9,9,FAR,DTA,Reliance Green,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-03-01 00:00:00,2022-03-01,Approved By Site Head,
10,10,FAR,Off Site,Off Site,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-28 00:00:00,2022-02-28,Approved By Zone IC,
11,11,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Theft,Reported,TheftReported,2022-02-28 00:00:00,2022-02-28,Approved By Site Head,
12,12,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2022-02-28 00:00:00,2022-02-28,Approved By Site Head,
13,13,FAR,MTF,MTF OSBL,Physical Security,Security,Access control related,Intrusion,Access control relatedIntrusion,2022-02-28 00:00:00,2022-02-28,Approved By Site Head,
14,14,FAR,MTF,A2O Gagwa,Physical Security,Security,Access control related,Unauthorized Entry,Access control relatedUnauthorized Entry,2022-02-28 00:00:00,2022-02-28,Approved By Site Head,
15,15,FAR,Off Site,Off Site,Traffic,Traffic incident,Others,,,2022-02-27 00:00:00,2022-02-27,Approved By Site Head,
16,16,FAR,C2,C2 Material,Physical Security,Security,Access control related,Unauthorized Entry,Access control relatedUnauthorized Entry,2022-02-27 00:00:00,2022-02-27,Approved By Site Head,
17,17,FAR,SEZ,Material Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2022-02-27 00:00:00,2022-02-27,Approved By Site Head,
18,18,FAR,SEZ,Material Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2022-02-27 00:00:00,2022-02-27,Approved By Site Head,
19,19,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-26 00:00:00,2022-02-26,Approved By Site Head,
20,20,FAR,DTA,B-Zone,Automation,Security,Critical Equipment down/Offline,Camera,Critical Equipment down/OfflineCamera,2022-02-26 00:00:00,2022-02-26,Approved By Zone IC,
21,21,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2022-02-26 00:00:00,2022-02-26,Approved By Site Head,
22,22,FAR,SEZ,Material Zone,Physical Security,Security,Misbehave Case,,,2022-02-26 00:00:00,2022-02-26,Approved By Site Head,
